question,answer,category
"27. À quelle date a eu lieu la Révolution française ?","Elle a commencé en 1789 avec la prise de la Bastille.","Histoire"
"28. Quand a été adoptée la Déclaration des Droits de l'Homme et du Citoyen ?","Le 26 août 1789.","Histoire"
"29. Qui a instauré le Code civil en France ?","Napoléon Bonaparte.","Histoire"
"30. Qui est Charles de Gaulle ?","Un militaire et homme politique, chef de la Résistance, fondateur de la Ve République, président de 1959 à 1969.","Histoire"
"31. Citez des monuments historiques français.","La Tour Eiffel, l'Arc de Triomphe, le château de Versailles, le Mont-Saint-Michel.","Culture"
"32. Quand a été instituée la Ve République ?","Le 4 octobre 1958.","Histoire"
"33. Quand a eu lieu la séparation de l'Église et de l'État ?","Le 9 décembre 1905.","Histoire"
"34. Pourquoi le 1er mai est-il férié ?","Parce que c'est la fête du travail.","Culture"
"35. Pourquoi le 11 novembre est-il férié ?","Parce que c'est l'armistice de la Première Guerre mondiale (1918).","Histoire"
"36. Que fête-t-on le 14 juillet ?","La fête nationale française, en souvenir de la Révolution (prise de la Bastille).","Culture"
"37. Quelles sont les valeurs ou la devise de la République française ?","Liberté, Égalité, Fraternité.","République"
"38. Si l'on devait ajouter une valeur, laquelle serait-ce ?","La laïcité.","République"
"39. Qu'est-ce que la laïcité ?","La neutralité de l'État vis-à-vis des religions, la liberté de croire ou de ne pas croire.","République"
"40. Qu'est-ce que la démocratie ?","Un système politique où le peuple est souverain et participe aux décisions publiques.","République"
"41. Quels sont les types de démocratie ?","Directe, participative et représentative.","République"
"42. Quels sont les droits et devoirs du citoyen français ?","Droits : voter, être éligible, liberté d'expression. Devoirs : respecter les lois, payer ses impôts, défendre le pays.","République"
"43. Quels sont les symboles de la République française ?","Le drapeau tricolore, la Marseillaise, Marianne, le 14 juillet, la devise.","République"
"44. Qui est Marianne ?","La figure symbolique de la République française, une femme avec un bonnet phrygien.","République"
"45. Qui est le Premier ministre actuel ?","François Bayrou.","Politique"
"46. Dans quelle République sommes-nous aujourd'hui ?","La Cinquième République.","Politique"
"47. Pour combien de temps est élu le président de la République ?","5 ans (mandat renouvelable une seule fois).","Politique"
"48. Par quel scrutin est élu le président de la République ?","Au suffrage universel direct, à deux tours.","Politique"
"49. Qui a le droit de voter aux élections ?","Tout citoyen français majeur, à partir de 18 ans.","Politique"
"50. Qu'est-ce que le Parlement ?","L'Assemblée qui représente le peuple et vote les lois. Composé de l'Assemblée nationale et du Sénat.","Politique"
"51. Qu'est-ce que le pouvoir exécutif ?","Il est exercé par le président de la République et le gouvernement.","Politique"
"52. Qu'est-ce que le pouvoir législatif ?","Il est exercé par le Parlement. Il rédige et vote les lois.","Politique"
"53. Qu'est-ce que le pouvoir judiciaire ?","Il est exercé par les juges et magistrats. Il veille à l'application des lois.","Politique"
"54. Qu'est-ce que le Sénat ?","La chambre haute du Parlement, composée de sénateurs.","Politique"
"55. Comment sont élus les sénateurs ?","Par suffrage universel indirect, par les grands électeurs.","Politique"
"56. Qui est le président du Sénat ?","Gérard Larcher.","Politique"
"57. Qu'est-ce que le Conseil constitutionnel ?","Une institution qui vérifie si les lois respectent la Constitution.","Politique"
"58. Où se trouve le siège de la Présidence de la République ?","Au palais de l'Élysée, à Paris.","Politique"
"59. Où se trouvent les bureaux du Premier ministre ?","À l'Hôtel Matignon, à Paris.","Politique"
"60. Qu'est-ce que les élections municipales ?","Les élections qui servent à élire le conseil municipal, qui ensuite élit le maire.","Politique"
"61. Quelle est la devise de l'Union européenne ?","Unie dans la diversité.","Europe"
"62. Quel est l'hymne de l'Union européenne ?","L'Ode à la joie, de Beethoven.","Europe"
"63. Combien de pays compte l'Union européenne ?","27 États membres (depuis le Brexit, 2020).","Europe"
"64. Dans quel intérêt les pays rejoignent-ils l'Union européenne ?","Libre circulation, monnaie unique, coopération politique et économique.","Europe"
"65. Où se trouve le siège du Parlement européen ?","À Strasbourg, en France.","Europe"
"66. Où se trouve le siège de la Commission européenne ?","À Bruxelles, en Belgique.","Europe"
"67. Combien d'étoiles comporte le drapeau européen ?","12 étoiles disposées en cercle.","Europe"
"68. Que symbolisent les étoiles du drapeau européen ?","L'unité, la solidarité et l'harmonie entre les peuples d'Europe.","Europe"
"69. Que représente la journée du 9 mai ?","La Journée de l'Europe, symbole de paix et d'unité.","Europe"
"70. Quels sont les symboles de l'Union européenne ?","Le drapeau bleu avec 12 étoiles, l'hymne européen, la devise, la Journée de l'Europe, l'euro.","Europe"
"71. Que connaissez-vous du traité de Rome ?","Signé en 1957 par 6 pays, il a créé la CEE et Euratom.","Europe"
"72. Depuis quand les Français sont-ils citoyens européens ?","Depuis 1992, avec le traité de Maastricht.","Europe"
"73. Qui finance les services publics en France ?","Les citoyens qui travaillent, à travers les impôts.","Société"
"74. Êtes-vous obligé(e) de payer vos impôts ?","Oui, c'est obligatoire pour tous les citoyens.","Société"
"75. En cas de conflit armé, qui peut être appelé à défendre la patrie ?","Tout citoyen français de plus de 16 ans.","Société"
"76. Qu'est-ce que le système de sécurité sociale ?","Un ensemble d'institutions qui protègent contre les risques sociaux (maladie, chômage, vieillesse).","Société"
"77. Qui finance la sécurité sociale ?","Les entreprises et les travailleurs, grâce aux cotisations.","Société"
"78. Si vous obtenez la nationalité française, comptez-vous vivre en France ?","Oui, je souhaite vivre principalement en France.","Personnel"
"79. Comment les citoyens expriment-ils leur désaccord avec le gouvernement ?","Par les manifestations, les grèves ou d'autres moyens pacifiques légaux.","Société"
"80. Qu'est-ce que la discrimination pour vous ?","Traiter quelqu'un différemment à cause de son origine, sa religion, son sexe ou son âge. C'est interdit par la loi.","Société"
"81. La discrimination est-elle légale en France ?","Non, c'est un délit puni par la loi.","Société"
"82. À quelle occasion la Marseillaise a-t-elle été écrite ?","En 1792, après la déclaration de guerre de la France à l'Autriche, par Rouget de Lisle.","Culture"
"83. Quels sont vos plats français préférés ?","Tartiflette, Aligot, la bouillabaisse, les galettes bretonnes.","Culture"
"84. Avez-vous goûté des spécialités locales en France ?","Oui, calvados, cidre, huîtres en Normandie, les escargots de Bourgogne.","Culture"
"85. Citez des écrivains français célèbres.","Victor Hugo, Molière, Alexandre Dumas.","Culture"
"86. Citez des artistes ou chanteurs français célèbres.","Charles Aznavour, Edith Piaf, Johnny Hallyday.","Culture"
"87. Connaissez-vous des personnes étrangères naturalisées françaises ?","Marie Curie, Joséphine Baker.","Culture"
"88. Citez des philosophes français célèbres.","Rousseau, Voltaire, Montesquieu, Diderot.","Culture"
"89. Qu'est-ce que la philosophie des Lumières ?","Un mouvement intellectuel du XVIIIe siècle qui défend la raison, la liberté, l'égalité.","Culture"
"90. Citez un grand événement sportif français.","Le Tour de France, Roland Garros, la Coupe du monde 1998.","Culture"
"91. Qu'est-ce que la loi Veil ?","La loi de 1975 qui autorise l'interruption volontaire de grossesse (IVG).","Société"
"92. Que pensez-vous de la parité homme-femme ?","Hommes et femmes doivent avoir les mêmes droits et obligations.","Société"
"93. Qui décide de vous accorder la nationalité française ?","Le ministre de l'Intérieur.","Procédure"
"94. Qu'est-ce que la cohabitation politique ?","La situation où le Président et le Premier ministre appartiennent à des camps politiques opposés.","Politique"
"95. Quelles sont les couleurs du drapeau français ?","Bleu, blanc, rouge.","République"
"96. Quels sont les cinq symboles de la République française ?","Le drapeau tricolore, la Marseillaise, Marianne, la fête nationale (14 juillet), la devise nationale.","République"
"97. Quel est le rôle du président de la République ?","Il représente la France, promulgue les lois, dirige la politique étrangère, chef des armées, nomme le Premier ministre.","Politique"
"98. Quelles sont les responsabilités du citoyen français ?","Voter, respecter les lois, payer les impôts, participer à la vie civique, défendre la patrie si nécessaire.","République"
"99. Quels documents sont nécessaires pour obtenir la nationalité ?","Un titre de séjour, justificatifs de domicile, preuves d'intégration, acte de naissance, etc.","Procédure"
"100. Connaissez-vous un texte fondamental de la République ?","La Déclaration des Droits de l'Homme et du Citoyen de 1789.","République"
"101. Qu'est-ce que la liberté d'expression ?","Le droit de dire ce que l'on pense dans le respect des lois.","République"
"102. Peut-on critiquer le gouvernement en France ?","Oui, grâce à la liberté d'expression.","République"
"103. Quels jours sont fériés en France ?","1er janvier, 1er mai, 14 juillet, 11 novembre, Noël.","Culture"
"104. Qu'est-ce que l'impôt ?","Une contribution obligatoire pour financer les services publics.","Société"
"105. Quels sont les trois pouvoirs de l'État français ?","Le pouvoir exécutif, le pouvoir législatif et le pouvoir judiciaire.","Politique"
"106. Quelle est la capitale de la France ?","Paris.","Géographie"
"107. Quel est l'hymne national de la France ?","La Marseillaise.","République"
"108. Qui est le chef de l'État ?","Le président de la République.","Politique"
"109. Pouvez-vous citer un droit fondamental inscrit dans la Constitution ?","La liberté d'expression / Le droit de vote / La liberté de conscience.","République"
"110. Qu'est-ce que la devise de la République française signifie pour vous ?","Liberté : chacun est libre. Égalité : mêmes droits pour tous. Fraternité : entraide et solidarité.","République"
"111. Combien d'années faut-il résider en France pour demander la nationalité ?","En général, cinq ans de résidence en France.","Procédure"
"112. Pouvez-vous citer d'autres départements d'outre-mer ?","La Guyane, Mayotte, Saint-Pierre-et-Miquelon.","Géographie"
"113. Quel est le fleuve qui traverse Paris ?","La Seine.","Géographie"
"114. Citez deux grands écrivains femmes françaises.","Simone de Beauvoir, George Sand.","Culture"
"115. Quels sont les principaux partis politiques en France ?","La République en Marche, Les Républicains, Parti Socialiste, Europe Ecologie Les Verts, Rassemblement National.","Politique"
"116. Quelles grandes périodes a connu la France ?","Antiquité, Moyen Âge, Renaissance, Révolution française, XIXe siècle, XXe siècle.","Histoire"
"117. Citez trois grandes inventions françaises.","Le cinéma (frères Lumière), le vaccin contre la rage (Pasteur), le TGV.","Culture"
"118. Comment devient-on citoyen européen ?","En étant citoyen d'un état membre de l'Union européenne.","Europe"
"119. Quelles sont les langues officielles de l'UE ?","Il y en a 24. L'anglais, l'allemand et le français sont les plus utilisées.","Europe"
"120. Quels sont les pays fondateurs de l'UE ?","France, Allemagne, Italie, Belgique, Pays-Bas, Luxembourg.","Europe"
"121. Que signifie le suffrage universel ?","Que tous les citoyens majeurs peuvent voter.","Politique"
"122. Citez une fête traditionnelle française.","La Fête de la musique, la Chandeleur, le 14 juillet.","Culture"
"123. Quels sont les principaux journaux nationaux ?","Le Monde, Le Figaro, Libération.","Culture"
"124. Quelles sont les missions du maire d'une commune ?","Gérer la commune, appliquer les décisions du conseil municipal, officier d'état civil.","Politique"
"125. Connaissez-vous une femme politique célèbre en France ?","Simone Veil, Ségolène Royal, Édith Cresson.","Politique"
"126. Quels sont les principaux secteurs de l'économie française ?","L'agriculture, l'industrie, les services, le tourisme, le luxe.","Société"
"127. Qu'est-ce qu'un département ?","Une division administrative de la France.","Géographie"
"128. Quels sont les voisins maritimes de la France ?","Le Royaume-Uni (par la Manche).","Géographie"
"129. Quand la France est-elle devenue une république pour la première fois ?","En 1792.","Histoire"
"130. Citez un exemple d'association caritative française.","Les Restos du Cœur, la Croix-Rouge Française, Emmaüs.","Société"
"131. Qu'est-ce que le baccalauréat ?","Le diplôme de fin d'études secondaires, qui permet d'entrer à l'université.","Société"
"132. Citez un organisme français qui défend les droits de l'Homme.","La Ligue des droits de l'Homme, Amnesty International.","Société"
"133. Qu'est-ce qu'une grève ?","Un arrêt collectif du travail pour défendre des droits ou des revendications.","Société"
"134. Qu'est-ce qu'un arrondissement ?","Une subdivision administrative d'une grande ville (Paris, Lyon, Marseille).","Géographie"
"135. Quels sont les modes de scrutin utilisés en France ?","Le scrutin majoritaire à deux tours, la proportionnelle.","Politique"
"136. Que signifie laïcité en matière d'école ?","L'école publique ne favorise aucune religion et accueille tous les élèves également.","République"
"137. Quelle est la langue officielle de la France ?","Le français.","Culture"
"138. Pouvez-vous donner un exemple d'engagement citoyen ?","Être bénévole dans une association, participer à un conseil de quartier.","Société"
"139. Quel est le rôle d'un préfet ?","Représenter l'État dans le département, faire appliquer les lois, assurer la sécurité.","Politique"
"140. Citez deux grandes zones touristiques françaises.","La Côte d'Azur et le Mont-Saint-Michel ; Paris et la vallée de la Loire.","Géographie"
"141. Pouvez-vous nommer quelques universités françaises ?","La Sorbonne, Sciences Po, Université de Strasbourg.","Culture"
"142. Quels sont les droits des travailleurs en France ?","Droit à un contrat, au salaire minimum (SMIC), congés payés, droit de grève.","Société"
"143. Quelle est la durée légale du travail hebdomadaire en France ?","35 heures par semaine.","Société"
"144. Citez des manifestations sportives internationales en France.","Coupe du monde de football (1998), Jeux Olympiques (Paris 2024), Roland-Garros.","Culture"
"145. Quel est l'âge légal pour se marier en France ?","18 ans pour les hommes et les femmes.","Société"
"146. Quand a été abolie la peine de mort en France ?","En 1981.","Histoire"
"147. Citez deux grands cinéastes français.","François Truffaut, Agnès Varda.","Culture"
"148. Qu'est-ce que le contrat républicain ?","L'engagement à respecter les valeurs et principes de la République.","République"
"149. Depuis quand êtes-vous en France ?","Je suis arrivé(e) en France le [mois/année].","Personnel"
"150. Où avez-vous déposé votre première demande de séjour ?","À la préfecture de [ville].","Procédure"
