Question,ReponseConseil
Où avez-vous appris le français ?,"Réponse possible : Dans mon pays, à l’école, à l’université, dans des cours en France, ou en pratiquant avec les Français. Conseils : Montrez vos efforts pour apprendre la langue."
Avez-vous encore de la famille dans votre pays d’origine ? Comptez-vous les faire venir en France ?,"Réponse possible : Oui, mais je ne compte pas les faire venir. Conseils : Attention : l’agent ne doit pas penser que vous voulez la nationalité uniquement pour faire venir votre famille."
Où passez-vous vos vacances ?,"Réponse possible : En France : Paris, Bretagne, Normandie, Marseille, etc. Conseils : Mentionnez vos voyages en France."
Quelles sont les nationalités des personnes de votre entourage ?,"Réponse possible : Principalement des Français, mais aussi des personnes d’autres origines. Conseils : Évitez de montrer un repli communautaire."
Citez les trois plus grandes villes françaises.,"Réponse possible : Paris, Lyon, Marseille. Conseils : À apprendre par cœur."
Citez trois départements français.,"Réponse possible : Le Haut-Rhin, la Haute-Garonne, les Bouches-du-Rhône. Conseils : Donnez des exemples variés. Évitez de dire seulement celui où vous vivez."
Citez trois départements d’outre-mer.,"Réponse possible : La Guadeloupe, la Martinique, la Réunion. Conseils : 3 suffisent, inutile de tous retenir."
Citez trois régions françaises.,"Réponse possible : Île-de-France, Bretagne, Provence-Alpes-Côte d’Azur. Conseils : Connaître au moins les régions principales."
Citez des fleuves français.,"La Seine, la Loire, le Rhône, la Garonne, le Rhin Conseils : Retenez 3 ou 4 grands fleuves."
Citez des chaînes de montagnes françaises.,"Les Alpes, les Pyrénées, le Massif central, les Vosges Conseils : Retenez les principales, inutile d’apprendre toutes."
Quel est le point culminant de la France ?,"Le Mont-Blanc, 4809 mètres. Conseils :"
"Question très fréquente, réponse à apprendre par cœur.",
Quels sont les pays frontaliers de la France ?,"Espagne, Italie, Suisse, Allemagne, Luxembourg, Belgique, Monaco, Andorre. Conseils : Réponse à apprendre par cœur."
Dans quelle région êtes-vous ?,"Ile De France, Yvelines, Versailles, François de Mazières"
Citez trois rois de France.,"Réponse possible : Charlemagne, François Ier, Louis XIV. Conseils : Apprenez au moins trois noms connus."
Citez trois reines de France.,"Réponse possible : Marie-Antoinette, Catherine de Médicis, Anne d’Autriche. Conseils : Apprenez des figures célèbres."
En quoi Louis XIV est-il célèbre ?,"Il a régné très longtemps (le Roi-Soleil), il est symbole de la monarchie absolue, il a fait construire Versailles. Conseils : Retenez « Roi-Soleil, monarchie absolue, Versailles »."
À quelle date a eu lieu la Révolution française ?,"Elle a commencé en 1789 avec la prise de la Bastille. Conseils : Réponse incontournable, à retenir absolument."
Quand a été adoptée la Déclaration des Droits de l’Homme et du Citoyen ?,Le 26 août 1789. Conseils :
"Question fréquente, à apprendre par cœur.",
Qui a instauré le Code civil en France ?,"Napoléon Bonaparte. Conseils : À retenir, réponse simple."
Qui est Charles de Gaulle ?,"Un militaire et homme politique français, chef de la Résistance, fondateur de la Ve République, président de 1959 à 1969. Conseils : Retenez « Résistance + Ve République + Président »."
Citez des monuments historiques français.,"Réponse possible : La Tour Eiffel, l’Arc de Triomphe, le château de Versailles, le Mont-Saint-Michel. Conseils : Ayez toujours 3 ou 4 exemples prêts."
Quand a été instituée la Ve République ?,Le 4 octobre 1958. Conseils : Réponse incontournable.
Quand a eu lieu la séparation de l’Église et de l’État ?,Réponse possible : Le 9 décembre 1905. Conseils : À apprendre par cœur.
Pourquoi le 1er mai est-il férié ?,Parce que c’est la fête du travail. Conseils : Réponse simple.
Pourquoi le 11 novembre est-il férié ?,"Réponse possible : Parce que c’est l’armistice de la Première Guerre mondiale (1918). Conseils : Réponse fréquente, à apprendre."
Que fête-t-on le 14 juillet ?,"La fête nationale française, en souvenir de la Révolution (prise de la Bastille / fête de la Fédération). Conseils : Montrez que vous connaissez bien ce symbole."
Quelles sont les valeurs ou la devise de la République française ?,"Liberté, Égalité, Fraternité. Conseils : Apprenez par cœur, réponse incontournable."
"Si l’on devait ajouter une valeur, laquelle serait-ce ?","La laïcité. Conseils : Bonne réponse attendue, reflète un principe fondamental."
Qu’est-ce que la laïcité ?,"C’est la neutralité de l’État vis-à-vis des religions, la liberté de croire ou de ne pas croire, l’égalité de tous devant la loi. Conseils : Important de montrer que vous respectez ce principe."
Qu’est-ce que la démocratie ?,C’est un système politique où le peuple est souverain et participe aux décisions publiques. Conseils : Réponse simple mais claire.
Quels sont les types de démocratie ?,"Directe, participative et représentative. Conseils : À mémoriser."
Quels sont les droits et devoirs du citoyen français ?,Conseils : Montrez que vous connaissez bien la notion de citoyenneté.
Quels sont les symboles de la République française ?,"Le drapeau tricolore, la Marseillaise, Marianne, le 14 juillet, la devise « Liberté, Égalité, Fraternité ». Conseils : Ayez 3 ou 4 exemples prêts."
Qui est Marianne ?,"La figure symbolique de la République française, une femme avec un bonnet phrygien. Conseils : Montrez que vous comprenez le symbole."
Qui est le Premier ministre actuel ?,François Bayrou
Dans quelle République sommes-nous aujourd’hui ?,La Cinquième République. Conseils :
Question fréquente et facile.,
Pour combien de temps est élu le président de la République ?,5 ans (mandat renouvelable une seule fois). Conseils : À mémoriser.
Par quel scrutin est élu le président de la République ?,"Au suffrage universel direct, à deux tours. Conseils : Réponse simple, à apprendre."
Qui a le droit de voter aux élections ?,"Tout citoyen français majeur, à partir de 18 ans. Conseils : À retenir absolument."
Qu’est-ce que le Parlement ?,L’Assemblée qui représente le peuple et vote les lois. Il est composé de deux chambres : l’Assemblée nationale (députés) et le Sénat (sénateurs). Conseils : Montrez que vous connaissez la structure.
Qu’est-ce que le pouvoir exécutif ?,Il est exercé par le président de la République et le gouvernement. Il applique les lois et conduit la politique nationale. Conseils : Réponse à apprendre.
Qu’est-ce que le pouvoir législatif ?,Il est exercé par le Parlement (Assemblée nationale et Sénat). Il rédige et vote les lois. Conseils : Soulignez la séparation des pouvoirs.
Qu’est-ce que le pouvoir judiciaire ?,Il est exercé par les juges et magistrats. Il veille à l’application des lois et sanctionne leur non-respect. Conseils : Réponse claire et simple.
Qu’est-ce que le Sénat ?,"La chambre haute du Parlement, composée de sénateurs, qui examine les lois et représente les collectivités locales. Conseils : Retenez bien le rôle spécifique du Sénat."
Comment sont élus les sénateurs ?,"Par suffrage universel indirect, par les grands électeurs (maires, conseillers municipaux, etc.). Conseils : Réponse technique mais à mémoriser."
Qui est le président du Sénat ?,Gérard Larcher
Qu’est-ce que le Conseil constitutionnel ?,Une institution qui vérifie si les lois respectent la Constitution et qui veille à la régularité des élections. Conseils : Apprenez la définition simple.
Où se trouve le siège de la Présidence de la République ?,"Au palais de l’Élysée, à Paris."
Où se trouvent les bureaux du Premier ministre ?,"À l’Hôtel Matignon, à Paris."
Qu’est-ce que les élections municipales ?,"Ce sont les élections qui servent à élire le conseil municipal, qui ensuite élit le maire. Conseils : Montrez que vous comprenez le fonctionnement local."
Quelle est la devise de l’Union européenne ?,« Unie dans la diversité ».
Quel est l’hymne de l’Union européenne ?,"L’Ode à la joie, de Beethoven."
Combien de pays compte l’Union européenne ?,"27 États membres (depuis le Brexit, 2020). Conseils : Attention à bien dire 27, pas 28."
Dans quel intérêt les pays rejoignent-ils l’Union européenne ?,"Pour la libre circulation dans l’espace Schengen, la monnaie unique, la coopération politique et économique, et les valeurs démocratiques. Conseils : Montrez que vous comprenez l’importance de l’UE."
Où se trouve le siège du Parlement européen ?,"À Strasbourg, en France."
Où se trouve le siège de la Commission européenne ?,"À Bruxelles, en Belgique."
Combien d’étoiles comporte le drapeau européen ?,12 étoiles disposées en cercle. Conseils : Attention : ce nombre n’a rien à voir avec le nombre d’États membres.
Que symbolisent les étoiles du drapeau européen ?,"L’unité, la solidarité et l’harmonie entre les peuples d’Europe."
Que représente la journée du 9 mai ?,"La Journée de l’Europe, symbole de paix et d’unité."
Quels sont les symboles de l’Union européenne ?,"Le drapeau bleu avec 12 étoiles, l’hymne européen (Ode à la joie), la devise « Unie dans la diversité », la Journée de l’Europe (9 mai), l’euro."
Que connaissez-vous du traité de Rome ?,"Signé en 1957 par 6 pays, il a créé la Communauté économique européenne (CEE) et Euratom. Conseils : Retenez la date 1957 et l’idée de « fondation de l’Europe »."
Depuis quand les Français sont-ils citoyens européens ?,"Depuis 1992, avec le traité de Maastricht."
Qui finance les services publics en France ?,"Les citoyens qui travaillent, à travers les impôts. Conseils : Ne jamais dire que « c’est gratuit » : l’État est financé par les impôts."
Êtes-vous obligé(e) de payer vos impôts ?,"Oui, c’est obligatoire pour tous les citoyens. Conseils : Attention, question piège : répondre « oui » sans hésitation."
"En cas de conflit armé, qui peut être appelé à défendre la patrie ?",Tout citoyen français de plus de 16 ans. Conseils : Montrez que vous connaissez vos devoirs.
Qu’est-ce que le système de sécurité sociale ?,"C’est un ensemble d’institutions qui protègent les personnes contre les risques sociaux (maladie, chômage, vieillesse, accidents). Conseils : Réponse à apprendre, montre que vous connaissez un aspect essentiel de la vie en France."
Qui finance la sécurité sociale ?,"Les entreprises et les travailleurs, grâce aux cotisations."
"Si vous obtenez la nationalité française, comptez-vous vivre en France ?","Oui, je souhaite vivre principalement en France. Conseils :"
Question piège : ne dites pas que vous voulez seulement le passeport.,
Comment les citoyens expriment-ils leur désaccord avec le gouvernement ?,"Par les manifestations, les grèves ou d’autres moyens pacifiques légaux."
Qu’est-ce que la discrimination pour vous ?,"C’est traiter quelqu’un différemment à cause de son origine, sa religion, son sexe ou son âge. Conseils : Ajoutez que c’est interdit par la loi en France."
La discrimination est-elle légale en France ?,"Non, c’est un délit puni par la loi. Réponse claire et ferme."
À quelle occasion la Marseillaise a-t-elle été écrite ?,"En 1792, après la déclaration de guerre de la France à l’Autriche, par Rouget de Lisle."
Quels sont vos plats français préférés ?,"Tartiflette, Aligot, la bouillabaisse, les galettes bretonnes…"
"Avez-vous goûté des spécialités locales en France ?Reponse : oui, calvados, cidre, huitres en Normandie, Les escargots de Bourgogne, aligot d’auvergne, La tartiflette savoyarde",
Citez des écrivains français célèbres.,"Reponse: Victor Hugo, Molière, Alexandre Dumas."
Citez des artistes ou chanteurs français célèbres.,"Charles Aznavour, Edith Piaf, Johnny Hallyday."
Connaissez-vous des personnes étrangères qui ont été naturalisées françaises ?,"Marie Curie, Joséphine Baker."
Citez des philosophes français célèbres.,"Rousseau, Voltaire, Montesquieu, Diderot."
Qu’est-ce que la philosophie des Lumières ?,"Un mouvement intellectuel du XVIIIe siècle qui défend la raison, la liberté, l’égalité et combat l’obscurantisme. Conseils : Mots-clés : liberté, raison, progrès, contre la religion autoritaire."
Citez un grand événement sportif français.,"Le Tour de France, Roland Garros, la Coupe du monde 1998."
Qu’est-ce que la loi Veil ?,La loi de 1975 qui autorise l’interruption volontaire de grossesse (IVG). Conseils : Ajoutez : « une loi importante pour les droits des femmes ».
Que pensez-vous de la parité homme-femme ?,"Hommes et femmes doivent avoir les mêmes droits et obligations, mais il reste encore du chemin (par ex. égalité salariale)."
Qui décide de vous accorder la nationalité française ?,Le ministre de l’Intérieur
Qu’est-ce que la cohabitation politique ?,Conseils : Citez un exemple si vous en connaissez (Mitterrand – Chirac).
Questions très personnelles,
